消极,,,,,中立
,,,,,该课程应该在研一上学期尽早开启，有利于学生的科研工作展开
，实验过程的课程难度高不容易理解,,,,,我觉得这门课应该研一上学期就开
文献综述部分比较难，不是这个方向的做课程汇报需要较多时间,,,,,我觉得这门课应该研一上学期就开
其实很多同学实际上连idea都没，在瞎看，教学内容上是不是可以考虑加一章指导同学一些发掘自己方向idea的套路,,,,,希望可以有一些 零基础如何入门自己方向的内容
虽然团队形式的报告理论上可以减轻每个人的学习任务，实现共同学习等效果。但是实际情况反而是一次汇报完全由一个人完成，不同的汇报由不同的人完成。除了在某一周额外增加某个人的学习任务外，几乎没有团队合作的部分。虽然不排除某些团队可以很好的进行合作，但是绝大部分情况由一个人应付了事。而且有时候在规定阅读文献的领域时，会对我们造成额外的负担。摆烂的同学不会认真去准备，而认真的同学反而需要花费额外的时间。,,,,,希望课程进度可以更加平滑，实验过程的课程难度高不容易理解
温柔一点，大家尽力了,,,,,希望能减少期末答辩比重，增加平时作业分值
最终答辩周期有点长,,,,,可以放在研一上能接触更早，更及
,,,,,课程内容较多，课程时长不够，建议较少个人答辩时间，同时作为研一同学更感兴趣在如何找到论文写作创新点，也可以加入到课程中。
,,,,,希望可以多一点论文书写规范与投稿期刊经验的课程。
,,,,,每一节课都可以放一个具体的例子来讲解，这样的实操更能让学生印象深刻。
,,,,,建议对于加上推荐投稿内容
,,,,,可适当减少专题后的报告。
,,,,,可以适当加点笔试考核相关内容
,,,,,课程内容较多，课程时长不够，建议较少个人答 辦时间，同时作为研一同学更感兴趣在如何找到 论文写作创新点，也可以加入到课程中。
,,,,,建议加一些大论文方面的知
,,,,,希望能让学生更好的展现自
,,,,,在研一上学期开课，提前步入系统性文献综述来入门研
,,,,,研一绝大部分同学都还没有研究成果，老师能多讲点看论文找创新点的实际例子，或许同学们能体会更
,,,,,投文章的可以多讲讲
,,,,,课程很好，但是作业难度上容易让研一新生产生畏难情绪而让大家不能好好完成汇报
