消极,,,,,,中立
有些研究领域方向和软件工程所讲内容有差异。,,,,,,其实课堂的案例是不是可以更泛化一些？增加课堂互动，可以在时间允许的情况下，比如针对一个重要问题，采用请学生阐述介绍自己方向，并套用自己方向回答问题或者其他方式，更好的融入课堂。实验那里，俺还是弄不明白。专业术语挺多。认真听不能走神，一走神跟不上了就。
报告的团队参与度不高,,,,,,"建议:分组的时候可以特别强调一下让大家讨论一下各自的研究方向相近的研究方向的学生分在一起。
因为我上这门课的后期听了他们的报告之后才发现吴首昊和黄展羿和我都是做传统图形学这个比较小众的方向的，也从他们的报告里学到了很多并且课下交流了。如果一开始组成小组，合作学习的话，应该会有更多的碰撞，产生更好的学习效果。"
建议严格控制学生汇报时间，首先真实的学术汇报应该有严格的时间控制，其次会拖延下一次主题内容。,,,,,,应该开设在研一上学期。
每次汇报课时总觉得他人方向与自己无关，听的也不是很明白，所以参与度与兴趣度不高,,,,,,由于现在很多人的研究方向并不是软件工程，所以希望这节课能够把软件工程的概念映射到其他更广泛的领域，用软件工程的方法解决一般性问题。
每个课题汇报周期太长，每个专题一次课感觉有点不够用,,,,,,开课时间上，我个人建议学硕和专硕都在研一上学期上这门课，研一下已经有些晚了，研一上如果能上这门课起步是会快很多，少走很多弯路，因为毕竟不是所有学长学姐都能让你怎么开始你的方向的研究，其他的也没什么了，老师讲得已经很好了，对我个人研究的帮助也比较大
,,,,,,"不知能否增加论文创新点类似的专题，切入点，技巧性相关。
从课程中其实已经了解到了很多有用的知识了，本来开始我觉得反转课堂只是老师偷懒，但在上课时发现台上同学在讲的时候您在很认真的听和记录，并且讲完后总是能提一些很刁钻但又恰到好处的问题时，我的想法就改变了。"
,,,,,,"1.四个主题设置的平均了，导致后面要讲的重要的地方时间不够的，可以前面的内容安排少一点的人讲。
2.虽然分了组但是每个人都有讲PPT的内容所以一人全权负责一讲是难以避免的（两个人参与一讲消耗的人力成本是大于一参与一讲的），老师在有意的引导还是难以解决，可以试一下新的分组模式（另一门课一个组讲一个专题达到的效果并不是很好）。"
,,,,,,"1、课程知识结构的特点，重点突出，层次分明。理论和实际相结合，通过例题使知识更条理化。但授课速度有点快，来不及记录。
2、希望更多介绍软件工程方面知识，为以后想从事软件方面工作的同学提供参考
3、老师对待教学认真负责，语言生动，条理清晰，举例充分恰当，对待学生严格要求，能够鼓励学生踊跃发言，使课堂气氛比较积极热烈。但学生汇报占用时间过长，希望减少汇报次数"
,,,,,,有个不够成熟的建议就是：正因为干货太多，所以课后对知识进行消化不太容易，如果能有1-2页ppt对知识做一个浓缩精华的总结，在课上拍照或者课下发在群里，让同学自行保存，这样课余时间、需要这方面知识的时候可以翻阅，记得更牢，课上所讲的知识更能发挥作用。另外，团队答辩可以要求汇报时最后再加一页ppt，介绍一下在这次小组作业中每个成员的分工情况，可以避免小组作业分工不均的问题，促进团队公平，提升整体的汇报效果。
,,,,,,.建议：随着技术的不断进步和发展，我觉得课程应该增加一些最新的技术趋势和发展动态。
,,,,,,"个人建议：
最后可以搞一个活动：（回答专题）------就是将相同（或者大方向相同的）同学集中分为一组，展示他们的研究专题和之前汇报的PPT以及研究方向的落地使用地。每一个小组可以互相提问，可以了解一些所有同学的研究方向的感兴趣的地方。"
,,,,,,感觉对实验这部分可以扩充一下，数据集怎么获取，公共数据集太少怎么处理，如果自己做数据集需要注意哪些地方，还有一点，对人做实验感觉可以更细一些，实验流程怎么做更有说服力，人的隐私和伦理需要注意什么，还有哪些容易踩坑的地方等。
,,,,,,希望这门课能改到第一学期
,,,,,,可以多讲讲一些好的科研习惯，比如用什么软件管理文献
,,,,,,"1.希望可以制作一些高质量的视频，便于课后重新复盘知识点。
2.可以多增加一些投票环节，例如在小组汇报完以后投票对该小组打分并且可以在此同时由同学提出他对于该小组的一些建议。"
,,,,,,可以多讲一些出去开会之类的经验类分享，
,,,,,,希望课后的资料可以发到群里，然后课程里可以增加多一些撰写论文的详细经验
,,,,,,"（1）在上课之前，可以让学生选择想听哪一方面的知识；
（2）老师讲完课之后 可以让学生进行提问 ，如果提问得好 可以进行加分奖励"
,,,,,,可以多讲关于怎么从0开始准备发论文
,,,,,,下学期的进度可以稍微快一点，讲一讲投稿与参会准备，回复审稿意见。
,,,,,,有时候必要的文字会比老师说过的话容易记在脑子里。ppt字可以多一点
,,,,,,课题组团队集体展示，扩展不同方向的领域知识。投稿返修。找工作申博等未来规划相关课题。
,,,,,,可以加一些写摘要和论文的小技巧
,,,,,,"1、可以多讲讲如何让自己明确自己的学习路线（以前的我对研究生的生活很迷茫，不知道自己要干什么，但是听了课明白，读研也能很丰富，我应该去规划自己的未来，不是来这读大五）
2、如何与导师还有厉害的学术大牛进行有效沟通（有时候自己比较紧张，在做交流的时候不会表达，所以有时候得到的答案和效果自己也不太懂或者没有得到自己的答案，如果有一些情景交流案例就好了）"
,,,,,,"多讲讲投稿经验，会议经验。
在《软件开发方法论》这门课中，可以增加""论文阅读方法""专题，介绍怎样去读一篇文献，刚入学，很多人都不知道怎么读文献"
,,,,,,虽然是软工的课程但不得不说是可以真的学到对自己有用的东西的，建议是希望老师可以让同学们知道什么是有意义的卷，什么是无意义的卷，有的同学会看到别人进度怎样怎样，自己不甘落后其实没有到那个水平，论文来说很多人是直接开编的，光想着既要又要还要，我觉得可以通过课程汇报中犀利的指出问题，好与不好都锐评出来，如果发现是抄袭，编造的，可以私下锐评出来，还是希望老师可以`拯救`一些同学的，可能实施起来麻烦，希望可以慢慢改进吧。
,,,,,,可以对于论文从初期调研到论文截稿返修的整个流程做一个系统的梳理，作为一节课
,,,,,,最开始对期刊，会议的介绍很有用，在刚进入研究生生涯的时候 很迫切的需要这些知识，一些开会的流程，投稿流程也是有用的，后面开始讲软工之后，就没什么意思了，一但某一次课讲的没什么意思，可能后面就有人不太愿意听了，主观印象就不好了，希望以后能有所改进
,,,,,,"汇报专题可以更多元化，可以每次汇报提供给学生可选的多个专题，如论文实验的实现细节汇报专题、审稿回复专题、论文撰写经验专题等等
建议后面汇报都控制时长。部分内容和科技论文写作重了，科技论文写作的结课作业是一篇四页以内的综述。"
,,,,,,增加一些学校开题报告，大论文，软著，专利等的讲解
,,,,,,如果能控制下汇报时间就更好了
,,,,,,建议老师在课程结束后可以把上课资料比如PPT等发到群里，有一些觉得很有用的知识点但是课程过程中没来得及记录，后面需要用到的时候可能就记不太清了。
